id|name
23294|Tram 1: Eggenberg/UKH => Mariatrost
27030|Bus 58: Hauptbahnhof => Mariagrün
27194|Tram 4: Andritz => Liebenau
27223|Tram 6: Laudongasse => St. Peter  
27229|Tram 13: Liebenau => Krenngasse
27440|Bus 30: Gebietskrankenkasse => Geidorf
27592|Bus 32: Unterpremstätten/Steg => Garage Kärntner Straße
27650|Bus 35: Jakominiplatz => Don Bosco Bahnhof
27940|Bus 40: Jakominiplatz => Gösting
28156|Bus 50: Hauptbahnhof => Zentralfriedhof
34760|Bus 67E: Jakominiplatz => Zanklstraße
70282|Bus 42: Andritz => Seminarstraße
70284|Bus 45: Andritz => Rannach/Abzw. Alpengarten
70290|Bus 48: Gösting => Thal/Kötschberg (via Thaler See)
70450|Bus 83: Mariagrün => Volksschule Mariagrün
70465|Bus 61: Krenngasse => Berliner Ring
70551|Bus 69: St. Peter => Petri Au
70588|Bus 74: Liebenau => Dörfla
70928|Bus 82: St. Leonhard/LKH => Stifting
71021|Bus 80: Puntigam => Feldkirchen/Raiffeisenplatz
71095|Bus 79: Volksschule Pirka => Gedersberg/Hummelbergweg
103312|Bus N2: Wirtschaftskammer => Webling
103370|Bus N4: Jakominiplatz => Dörfla
103717|Bus N6: St. Peter => Unterpremstätten/Steg
103724|Bus N7: Stifting => Karl-Etzel-Weg
408318|Bus 551: Liebensdorf Tankstelle => Leibnitz Gymnasium
411110|Bus 75U: Liebenau => P+R Pachern
419444|Bus 72: Schulzentrum St. Peter => Walter-P.-Chrysler-Platz
539251|Bus 76U: Schulzentrum St. Peter => Grambach/Gemeindeamt
539253|Bus 76U: Fernitz/Erzherzog-Johann-Platz => Schulzentrum St. Peter
545593|Bus 671: Graz Jakominiplatz => Neuwindorf Samitzteich (via Graz Kirchner-Kaserne)
907885|Bus 77: Ragnitz => St. Leonhard/LKH
915346|Bus 440: Sankt Marein bei Graz Gewerbepark => Graz Jakominiplatz
935285|Bus 30: Geidorf => Gebietskrankenkasse
936506|Bus 34E: Theyergasse => Jakominiplatz
940032|Bus 60: Krenngasse => Lustbühel
941409|Bus 34: Jakominiplatz => Thondorf
944735|Bus 33: Eggenberger Allee => Jakominiplatz
945046|Bus 33E: Don Bosco Bahnhof => Eggenberger Allee
948228|Bus 32: Jakominiplatz => Unterpremstätten/Steg
948232|Bus 32: Jakominiplatz => Seiersberg
948832|Bus 40: Gösting => Jakominiplatz
951144|Bus 58: Mariagrün => Hauptbahnhof
956164|Bus 74: Dörfla => Liebenau
956167|Bus 74E: Thondorf => Liebenau
956172|Bus 67: Zanklstraße => Zentralfriedhof
959105|Bus 710: Graz Hauptbahnhof => Köflach Bahnhof
961051|Bus 69: Petri Au => St. Peter
962057|Tram 3: Krenngasse => Laudongasse
